"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	% of Total Deaths
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	28	9914668	0.3	0.2	0.4	0.3	0.2%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	21	9984938	0.2	0.1	0.3	0.2	0.2%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	21	10087231	0.2	0.1	0.3	0.2	0.2%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	15	10199398	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Georgia"	"13"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	18	10310371	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.2%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	12	12359020	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	13	12488445	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	14	12525556	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	20	12556006	0.2	0.1	0.2	0.2	0.2%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	12	12589773	0.1 (Unreliable)	0.0	0.2	0.1 (Unreliable)	0.1%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	18	12609903	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.2%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	19	12643955	0.2 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.2%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	16	12695866	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	10	12747038	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	14	12796778	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	21	12830632	0.2	0.1	0.3	0.2	0.2%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	18	12860012	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.2%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	14	12870798	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	10	12879505	0.1 (Unreliable)	0.0	0.1	0.1 (Unreliable)	0.1%
	"Illinois"	"17"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	13	12839047	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	20	6044969	0.3	0.2	0.5	0.3	0.2%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	18	6080485	0.3 (Unreliable)	0.2	0.5	0.3 (Unreliable)	0.2%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	19	6127760	0.3 (Unreliable)	0.2	0.5	0.3 (Unreliable)	0.2%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	13	6155967	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	13	6196638	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	11	6233007	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	14	6332669	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	12	6379599	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	17	6424806	0.3 (Unreliable)	0.2	0.4	0.3 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	19	6459325	0.3 (Unreliable)	0.2	0.5	0.3 (Unreliable)	0.2%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	17	6483802	0.3 (Unreliable)	0.2	0.4	0.3 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	10	6516480	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	10	6537743	0.2 (Unreliable)	0.1	0.3	0.2 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	10	6569102	0.2 (Unreliable)	0.1	0.3	0.1 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	10	6595233	0.2 (Unreliable)	0.1	0.3	0.1 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	10	6612768	0.2 (Unreliable)	0.1	0.3	0.1 (Unreliable)	0.1%
	"Indiana"	"18"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	16	6633053	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	29	4018053	0.7	0.5	1.0	0.7	0.3%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	22	4041769	0.5	0.3	0.8	0.5	0.2%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	36	4068132	0.9	0.6	1.2	0.9	0.3%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	29	4089875	0.7	0.5	1.0	0.7	0.3%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	32	4117170	0.8	0.5	1.1	0.8	0.3%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	12	4146101	0.3 (Unreliable)	0.1	0.5	0.3 (Unreliable)	0.1%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	12	4182742	0.3 (Unreliable)	0.1	0.5	0.3 (Unreliable)	0.1%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	18	4219239	0.4 (Unreliable)	0.3	0.7	0.4 (Unreliable)	0.2%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	24	4256672	0.6	0.4	0.8	0.6	0.2%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	15	4289878	0.3 (Unreliable)	0.2	0.6	0.3 (Unreliable)	0.1%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	10	4339367	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	12	4369354	0.3 (Unreliable)	0.1	0.5	0.3 (Unreliable)	0.1%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	12	4384799	0.3 (Unreliable)	0.1	0.5	0.3 (Unreliable)	0.1%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	18	4400477	0.4 (Unreliable)	0.2	0.6	0.4 (Unreliable)	0.2%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	10	4413057	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Kentucky"	"21"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	17	4436974	0.4 (Unreliable)	0.2	0.6	0.4 (Unreliable)	0.1%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"1999"	"1999"	21	4460811	0.5	0.3	0.7	0.5	0.2%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2000"	"2000"	23	4468976	0.5	0.3	0.8	0.5	0.2%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	17	4477875	0.4 (Unreliable)	0.2	0.6	0.4 (Unreliable)	0.1%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2002"	"2002"	44	4497267	1.0	0.7	1.3	1.0	0.4%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2003"	"2003"	47	4521042	1.0	0.8	1.4	1.0	0.4%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	38	4552238	0.8	0.6	1.1	0.8	0.3%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2005"	"2005"	34	4576628	0.7	0.5	1.0	0.7	0.3%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2006"	"2006"	41	4302665	1.0	0.7	1.3	1.0	0.4%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2007"	"2007"	33	4375581	0.8	0.5	1.1	0.8	0.3%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2008"	"2008"	29	4435586	0.7	0.4	0.9	0.6	0.3%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2009"	"2009"	21	4491648	0.5	0.3	0.7	0.5	0.2%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2010"	"2010"	42	4533372	0.9	0.7	1.3	0.9	0.4%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2011"	"2011"	48	4575404	1.0	0.8	1.4	1.0	0.4%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2012"	"2012"	31	4603429	0.7	0.5	1.0	0.7	0.3%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2013"	"2013"	16	4626402	0.3 (Unreliable)	0.2	0.6	0.4 (Unreliable)	0.1%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2014"	"2014"	16	4647880	0.3 (Unreliable)	0.2	0.6	0.3 (Unreliable)	0.1%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2015"	"2015"	12	4668960	0.3 (Unreliable)	0.1	0.4	0.3 (Unreliable)	0.1%
	"Louisiana"	"22"	"Discharge from other and unspecified firearms"	"W34"	"2016"	"2016"	10	4681666	0.2 (Unreliable)	0.1	0.4	0.2 (Unreliable)	0.1%
	"Michigan"	"26"	"Discharge from other and unspecified firearms"	"W34"	"2001"	"2001"	10	9991120	0.1 (Unreliable)	0.0	0.2	0.1 (Unreliable)	0.1%
	"Michigan"	"26"	"Discharge from other and unspecified firearms"	"W34"	"2004"	"2004"	12	10055315	0.1 (Unreliable)	0.1	0.2	0.1 (Unreliable)	0.1%
