Mineral,Country,Percent,Reliance,Value
Sand and Gravel (Industrial),Other,0.1,0,0
Scandium,China,0.35,100,35
Scandium,Japan,0.35,100,35
Scandium,Other,0.3,100,30
Selenium,Philippines,0.21,50,10.5
Selenium,Mexico,0.15,50,7.5
Selenium,Other,0.64,50,32
Silicon,Russia,0.4,45,18
Silicon,Canada,0.14,45,6.3
Silicon,Other,0.46,45,20.7
Silver,Mexico,0.47,69,32.43
Silver,Canada,0.21,69,14.49
Silver,Other,0.32,69,22.08
Soda Ash,Turkey,0.89,0,0
Soda Ash,Bulgaria,0.03,0,0
Soda Ash,Other,0.08,0,0
Stone (Crushed),Mexico,0.53,1,0.53
Stone (Crushed),Canada,0.28,1,0.28
Stone (Crushed),Other,0.19,1,0.19
Stone (Dimension),Brazil,0.23,82,18.86
Stone (Dimension),China,0.23,82,18.86
Stone (Dimension),Other,0.54,82,44.28
Strontium,Mexico,0.75,100,75
Strontium,Germany,0.21,100,21
Strontium,Other,0.04,100,4
Sulfur,Canada,0.68,13,8.84
Sulfur,Russia,0.1,13,1.3
Sulfur,Other,0.22,13,2.86
Tantalum (ore),Australia,0.43,100,43
Tantalum (ore),Rwanda,0.21,100,21
Tantalum (ore),Other,0.36,100,36
Tellurium,Canada,0.52,75,39
Tellurium,Germany,0.24,75,18
Tellurium,Other,0.24,75,18
Thorium (ore),China,0.8,0,0
Thorium (ore),United Kingdom,0.15,0,0
Thorium (ore),Other,0.0499999999999999,0,0
Tin,Peru,0.25,77,19.25
Tin,Indonesia,0.24,77,18.48
Tin,Other,0.51,77,39.27
Titanium (sponge metal),Japan,0.89,95,84.55
Titanium (sponge metal),Kazakhstan,0.09,95,8.55
Titanium (sponge metal),Other,0.02,95,1.9
Tungsten,China,0.29,50,14.5
Tungsten,Germany,0.11,50,5.5
Tungsten,Other,0.6,50,30
Vanadium,Canada,0.31,54,16.74
Vanadium,China,0.13,54,7.02
Vanadium,Other,0.56,54,30.24
Wollastonite,Canada,0.4,0,0
Wollastonite,Mexico,0.4,0,0
Wollastonite,Other,0.2,0,0
Zinc (ore),Peru,0.71,76,53.96
Zinc (ore),Canada,0.15,76,11.4
Zinc (ore),Other,0.14,76,10.64
Zirconium (ore),South Africa,0.51,50,25.5
Zirconium (ore),Senegal,0.25,50,12.5
Zirconium (ore),Other,0.24,50,12
Hafnium,Germany,0.36,0,0
Hafnium,France,0.3,0,0
Hafnium,Other,0.34,0,0
Yttrium,China,0.94,100,94
Yttrium,Germany,0.03,100,3
Yttrium,Other,0.03,100,3
Gemstones,India,0.45,100,45
Gemstones,Israel,0.28,100,28
Gemstones,Other,0.27,100,27
Vermiculite,South Africa,0.64,20,12.8
Vermiculite,Brazil,0.35,20,7
Vermiculite,Other,0.01,20,0.2
